2.2904,0.3995,2.3366,3.0478,1.1897,2.1393,2.9396,2.5199,1.4514
1.1477,0.2381,2.5374,2.3695,0.9699,2.0597,2.7598,2.0899,1.2003
1.3086,0.3299,1.3698,2.12,0.9399,2.0598,2.7903,2.0896,1.2803
1.1695,0.2499,1.22,2.0698,0.9399,2.04,2.7099,2.08,1.3601
1.2126,0.2454,1.2807,1.9226,0.9997,2.15,2.8398,2.1399,1.3402
1.1695,0.25,1.2797,1.9799,1.0299,2.1697,2.7298,2.1803,1.359
1.2808,0.3397,1.3303,1.9593,1,2.2297,2.9003,2.0796,1.3703
1.1415,0.25,1.2898,1.9999,1.0899,2.3699,2.96,2.1098,1.3905
1.2896,0.3192,1.2906,2.0799,1.0306,2.2692,2.9701,2.1999,1.3697
1.1099,0.3099,1.25,2.09,0.9798,2.2,2.7798,2.1501,1.2603
1.3314,0.3097,1.2802,2.0861,1.0437,2.4099,2.9288,2.0311,1.3505
1.0813,0.31,1.2299,2.0799,0.9501,2.2599,2.7787,2.1712,1.3702
1.1796,0.3198,1.3399,2.1,1.05,2.3401,2.8897,2.09,1.1803
1.3416,0.4099,1.3399,2.0599,1.0398,2.3299,2.82,2.1099,1.321
1.1289,0.25,1.2601,0,0,2.3102,2.7898,2.0898,1.3105
1.27886,0.302066667,1.442326667,2.140328571,1.018064286,2.222486667,2.839093333,2.142066667,1.32764
